date,total_value,diary_variation,cash
2021-04-01,97601.06383378038,-2398.936166219617,29059.40200669298
2021-04-05,100061.10081196364,61.10081196363899,19277.70116138991
2021-04-06,99899.54415607985,-100.45584392015007,9383.400898938737
2021-04-07,100100.90749073561,100.90749073561165,9383.400898938737
2021-04-08,101370.09671497878,1370.0967149787757,9383.400898938737
2021-04-09,102097.60025501784,2097.600255017838,9383.400898938737
2021-04-12,102298.09135914381,2298.0913591438148,9383.400898938737
2021-04-13,104936.31440449294,4936.314404492936,9383.400898938737
2021-04-14,103225.83215046462,3225.8321504646156,9383.400898938737
2021-04-15,104686.01833057936,4686.018330579362,9383.400898938737
2021-04-16,104785.79179096755,4785.791790967545,9383.400898938737
2021-04-19,103995.60538960036,3995.6053896003577,9383.400898938737
2021-04-20,103688.37840748366,3688.3784074836585,9383.400898938737
2021-04-21,104745.30238056715,4745.302380567155,9383.400898938737
2021-04-22,103143.11568928297,3143.115689282975,9383.400898938737
2021-04-23,104128.81054654087,4128.8105465408735,51241.04319729771
2021-04-26,104377.11071915858,4377.110719158576,20132.11384721033
2021-04-27,103537.48960252039,3537.4896025203925,10080.673539593143
2021-04-28,102880.33075089686,2880.3307508968574,19830.41380448572
2021-04-29,103025.06019495009,3025.060194950085,40414.243887882214
2021-04-30,102343.5766286659,2343.5766286659054,49983.03383539198
2021-05-03,102036.44853113173,2036.4485311317258,39895.23357294081
2021-05-04,100919.0636586952,919.0636586952023,49626.70715997694
2021-05-05,101159.1318811294,1159.131881129404,80405.5163720962
2021-05-06,101396.14492739405,1396.1449273940525,80405.5163720962
2021-05-07,101472.7975690696,1472.797569069604,59977.048423561784
2021-05-10,100310.97411529312,310.97411529312376,50084.8074359108
2021-05-11,99527.96777748532,-472.03222251468105,88938.6940805859
2021-05-12,99202.3190805859,-797.6809194140951,88938.6940805859
2021-05-13,99322.99719557934,-677.0028044206556,99322.99719557934
2021-05-14,99322.99719557934,-677.0028044206556,99322.99719557934
2021-05-17,99268.97529789609,-731.0247021039104,89601.10072514218
2021-05-18,98967.5996161664,-1032.4003838336066,79431.71881782655
2021-05-19,98673.67288735561,-1326.327112644387,98673.67288735561
2021-05-20,98673.67288735561,-1326.327112644387,98673.67288735561
2021-05-21,98195.72614875318,-1804.2738512468204,59247.62596717359
2021-05-24,99033.30914004004,-966.6908599599556,68969.10444338477
2021-05-25,98973.18172297985,-1026.818277020153,49391.02794490369
2021-05-26,99342.45058047079,-657.5494195292122,39696.183765285256
2021-05-27,99088.14411532186,-911.855884678138,39696.183765285256
2021-05-28,98977.22350180571,-1022.7764981942892,49164.20206320707
2021-06-01,99175.0809389395,-824.9190610605001,49164.20206320707
2021-06-02,98768.91610116267,-1231.083898837329,58970.99227303767
2021-06-03,97960.11409920955,-2039.885900790454,58970.99227303767
2021-06-04,98550.58743189673,-1449.4125681032747,78357.81384180883
2021-06-07,98950.8337500825,-1049.1662499175,39499.671945883274
2021-06-08,98772.69502818635,-1227.3049718136463,29661.0028589969
2021-06-09,99039.95818126253,-960.0418187374744,29661.0028589969
2021-06-10,99652.30287861462,-347.69712138538307,19861.604384657112
2021-06-11,99789.68426391833,-210.31573608166946,19859.519621584346
2021-06-14,100832.15146073682,832.1514607368154,9873.578828900878
2021-06-15,99974.02972611767,-25.970273882325273,9873.578828900878
2021-06-16,99749.40927323682,-250.59072676318465,19434.218477338378
2021-06-17,100895.96333512646,895.9633351264638,9603.348238080565
2021-06-18,100219.39979752881,219.39979752880754,9603.348238080565
2021-06-21,101155.33540046115,1155.3354004611465,19410.291348337123
2021-06-22,101933.25679522651,1933.256795226509,9380.820782958443
2021-06-23,102347.35023242133,2347.350232421333,9380.820782958443
2021-06-24,102939.71191912788,2939.711919127876,9380.820782958443
2021-06-25,102571.92968493598,2571.9296849359816,9380.820782958443
2021-06-28,103543.00425463813,3543.00425463813,9380.820782958443
2021-06-29,103899.017827331,3899.017827331001,9380.820782958443
2021-06-30,103876.3587849726,3876.3587849726027,9380.820782958443
2021-07-01,104065.8317158808,4065.831715880806,9380.820782958443
2021-07-02,105908.35080462592,5908.350804625923,9380.820782958443
2021-07-06,106149.97119647163,6149.971196471626,9380.820782958443
2021-07-07,106958.91595965522,6958.91595965522,20230.564435302193
2021-07-08,106101.67624407905,6101.676244079048,20230.564435302193
2021-07-09,106573.16161852973,6573.161618529732,20230.564435302193
2021-07-12,106771.99548846381,6771.995488463814,20230.564435302193
2021-07-13,107192.77203112739,7192.772031127388,9706.99122363227
2021-07-14,108176.93898516792,8176.938985167915,19991.824322997505
2021-07-15,107591.6890156855,7591.689015685493,19991.824322997505
2021-07-16,107223.95899706977,7223.958997069771,19991.824322997505
2021-07-19,105575.05532580512,5575.055325805122,19991.824322997505
2021-07-20,106513.9934161006,6513.993416100595,52260.80127742872
2021-07-21,106763.29792638503,6763.297926385028,31190.21684117995
2021-07-22,107577.45675997686,7577.456759976863,30910.42219881963
2021-07-23,109351.87630437908,9351.876304379082,20103.531348934746
2021-07-26,109602.96657537518,9602.966575375176,20103.531348934746
2021-07-27,108136.6498486906,8136.649848690606,9267.998115292168
2021-07-28,108910.09785170123,8910.097851701226,30441.872052140687
2021-07-29,108913.98722548052,8913.987225480523,30441.872052140687
2021-07-30,108977.92103285357,8977.92103285357,8945.552227921937
2021-08-02,109692.33167738482,9692.33167738482,8945.552227921937
2021-08-03,110233.74424825778,10233.744248257775,19675.873581753876
2021-08-04,110041.50995993787,10041.509959937874,8745.673076392948
2021-08-05,110692.96531272108,10692.965312721077,8745.673076392948
2021-08-06,109955.26453757459,9955.264537574592,8745.673076392948
2021-08-09,110633.86519710992,10633.865197109917,19612.71587460015
2021-08-10,110239.15795407993,10239.157954079928,8584.61089597446
2021-08-11,110130.17816229939,10130.178162299388,19583.346283637286
2021-08-12,111280.22787543415,11280.227875434153,19583.346283637286
2021-08-13,111512.69637119943,11512.696371199432,8510.410665633031
2021-08-16,111110.55382359201,11110.55382359201,8510.410665633031
2021-08-17,109892.48726475413,9892.487264754134,19272.970724226783
2021-08-18,109016.43273987656,9016.43273987656,41368.98721375351
2021-08-19,109244.89279631298,9244.892796312983,52871.21941069286
2021-08-20,110329.22018068976,10329.220180689765,52609.99255007453
2021-08-23,111507.66627013872,11507.666270138725,19664.286631466854
2021-08-24,111640.8863171358,11640.886317135795,8530.300318600643
2021-08-25,111695.08945739458,11695.089457394584,8530.300318600643
2021-08-26,110931.43239008178,10931.432390081784,19557.15455805054
2021-08-27,112035.6945055603,12035.6945055603,19557.15455805054
2021-08-30,113417.5535906433,13417.553590643307,19557.15455805054
2021-08-31,113307.5369105691,13307.536910569106,8359.246093308384
2021-09-01,113481.01583818141,13481.01583818141,8359.246093308384
2021-09-02,113064.48332170192,13064.483321701919,8359.246093308384
2021-09-03,113309.35133317653,13309.351333176528,8359.246093308384
2021-09-07,114335.12484697047,14335.124846970473,8359.246093308384
2021-09-08,113987.91204789821,13987.912047898208,8359.246093308384
2021-09-09,113623.52422411971,13623.524224119712,19780.19190295272
2021-09-10,111713.02695544295,11713.026955442954,19780.19190295272
2021-09-13,112472.23962346424,12472.239623464237,53622.149382985706
2021-09-14,112611.22867109568,12611.228671095683,31308.08499433787
2021-09-15,113759.42533313933,13759.425333139327,31220.59781849089
2021-09-16,113676.00388411278,13676.003884112783,19933.787850177225
2021-09-17,112449.34156111474,12449.341561114736,19933.787850177225
2021-09-20,110422.21349559352,10422.213495593518,41642.30442271755
2021-09-21,110825.94535490191,10825.945354901909,76015.76987882769
2021-09-22,111277.18674894488,11277.186748944878,76015.76987882769
2021-09-23,111426.10493127935,11426.104931279348,53974.33924524419
2021-09-24,112302.45999366746,12302.459993667464,32009.713259048327
2021-09-27,112070.96039927454,12070.96039927454,9872.245494489385
2021-09-28,110415.9148433185,10415.914843318504,86570.74064898257
2021-09-29,110530.9148433185,10530.914843318504,86570.74064898257
2021-09-30,110352.12858843569,10352.128588435691,86570.74064898257
2021-10-01,110344.15495562319,10344.154955623191,86570.74064898257
2021-10-04,110537.66154742007,10537.661547420066,86570.74064898257
2021-10-05,110508.83293413882,10508.832934138816,86570.74064898257
2021-10-06,110575.0730464435,10575.073046443504,86570.74064898257
2021-10-07,110922.12670802744,10922.126708027441,64424.215117451284
2021-10-08,110630.30756827866,10630.307568278658,53295.87281486069
2021-10-11,110728.60493155991,10728.604931559908,53295.87281486069
2021-10-12,110804.17487784897,10804.174877848971,53295.87281486069
2021-10-13,111152.59280661604,11152.592806616041,75118.41754416487
2021-10-14,111881.93527293437,11881.935272934366,52924.43553233379
2021-10-15,112829.07517702869,12829.075177028688,30712.531582668336
2021-10-18,114244.61001284412,14244.610012844118,30712.531582668336
2021-10-19,114509.87910891784,14509.879108917841,8037.185413849476
2021-10-20,114309.86845828308,14309.868458283076,8037.185413849476
2021-10-21,115599.32240725768,15599.322407257685,8037.185413849476
2021-10-22,115094.45229007018,15094.452290070185,8037.185413849476
2021-10-25,118501.88714958986,18501.887149589864,29880.145328300794
2021-10-26,118629.69440056643,18629.694400566426,29880.145328300794
2021-10-27,121178.1955319978,21178.1955319978,18119.580206070066
2021-10-28,122948.64004587385,22948.64004587385,5998.9950263426035
2021-10-29,124827.84094309065,24827.840943090647,5998.9950263426035
2021-11-01,126590.38339304182,26590.38339304182,5998.9950263426035
2021-11-02,126267.34710944946,26267.34710944946,17485.06959785278
2021-11-03,128048.13076279554,28048.13076279554,4835.730021218384
2021-11-04,129004.1963908473,29004.196390847297,4835.730021218384
2021-11-05,128906.89901230726,28906.899012307258,4835.730021218384
2021-11-08,127090.34073899183,27090.34073899183,4835.730021218384
2021-11-09,122739.70823166761,22739.70823166761,4835.730021218384
2021-11-10,121715.47468064222,21715.47468064222,19655.077189187134
2021-11-11,121903.13855950168,21903.138559501676,56747.00634209446
2021-11-12,122146.26009575656,22146.26009575656,56747.00634209446
2021-11-15,121640.66303284859,21640.66303284859,20342.399452526333
2021-11-16,122654.57728484848,22654.577284848478,32531.719115292814
2021-11-17,123649.18685974895,23649.186859748952,20404.127442024343
2021-11-18,124989.8004919511,24989.8004919511,20404.127442024343
2021-11-19,126546.15210022747,26546.152100227468,7950.267151496999
2021-11-22,126368.10110535442,26368.10110535442,7950.267151496999
2021-11-23,124830.91848388874,24830.918483888745,19844.94004455769
2021-11-24,125158.66451660359,25158.66451660359,19844.94004455769
2021-11-26,122353.39759970305,22353.39759970305,31814.86158896087
2021-11-29,124655.89327955554,24655.893279555545,56440.95895338368
2021-11-30,124872.59667820818,24872.59667820818,31857.133879135923
2021-12-01,123604.04147239063,23604.04147239063,44148.266783669926
2021-12-02,123278.29185386036,23278.291853860355,55871.573424294926
2021-12-03,122832.22871652334,22832.228716523343,85434.87222543448
2021-12-06,123497.91484323233,23497.914843232327,85434.87222543448
2021-12-07,124742.97116342276,24742.971163422757,85434.87222543448
2021-12-08,125446.8595524559,25446.859552455906,48202.90044601059
2021-12-09,125134.8898258934,25134.889825893406,48202.90044601059
2021-12-10,126383.46354484755,26383.463544847546,60519.49796867567
2021-12-13,125268.94343107432,25268.943431074324,47993.32430570811
2021-12-14,123914.55452429534,23914.554524295338,60138.836796634205
2021-12-15,124676.13399470525,24676.133994705247,96401.95597041326
2021-12-16,122708.65874170899,22708.65874170899,59227.15646814941
2021-12-17,121958.88046747289,21958.88046747289,108716.61275201879
2021-12-20,121851.32710748754,21851.327107487537,108716.61275201879
2021-12-21,122102.03059869847,22102.030598698475,108716.61275201879
2021-12-22,122307.07668024144,22307.076680241444,108716.61275201879
2021-12-23,123317.25588004879,23317.25588004879,36153.47984855465
2021-12-27,125185.97774284176,25185.97774284176,23985.219350507774
2021-12-28,124616.28093498043,24616.28093498043,23985.219350507774
2021-12-29,124621.09575431637,24621.095754316368,23985.219350507774
2021-12-30,123813.79976432613,23813.799764326133,23985.219350507774
2021-12-31,122965.1971337109,22965.1971337109,23985.219350507774
