date,stock,strategy,operation,price,size,capital,profit_gross,profit_net
2021-04-01,GOOGL,SMAStrategy30,BUY,103.8280063010387,94,97601.06383378038,,
2021-04-01,MSFT,GoldenCrossStrategy1030,BUY,229.3484840732753,42,97601.06383378038,,
2021-04-05,AAPL,SMAStrategy30,BUY,120.7617388309021,81,100061.10081196364,,
2021-04-06,TSLA,SMAStrategy30,BUY,230.10000610351562,43,99899.54415607985,,
2021-04-23,AAPL,SMAStrategy10,SELL,128.843676057911,-81,104128.81054654087,,
2021-04-23,MSFT,SMAStrategy10,SELL,248.01600835044013,-42,104128.81054654087,,
2021-04-23,GOOGL,SMAStrategy10,SELL,112.49998747236313,-95,104128.81054654087,,
2021-04-23,TSLA,SMAStrategy10,SELL,239.93333435058594,-43,104128.81054654087,,
2021-04-23,GOOGL,SMAStrategy10,TRADE_CLOSE,,0,104128.81054654087,1008.9722324578514,1008.9722324578514
2021-04-23,MSFT,SMAStrategy10,TRADE_CLOSE,,0,104128.81054654087,784.0360196409217,784.0360196409217
2021-04-23,TSLA,SMAStrategy10,TRADE_CLOSE,,0,104128.81054654087,450.4967803955078,450.4967803955078
2021-04-23,AAPL,SMAStrategy10,TRADE_CLOSE,,0,104128.81054654087,671.2212897101011,671.2212897101011
2021-04-26,AAPL,SMAStrategy10,BUY,131.44668736593727,79,104377.11071915858,,
2021-04-26,MSFT,SMAStrategy10,BUY,251.6513857134404,41,104377.11071915858,,
2021-04-26,GOOGL,SMAStrategy10,BUY,114.36191465854155,91,104377.11071915858,,
2021-04-27,TSLA,SMAStrategy10,BUY,239.32000732421875,42,103537.48960252039,,
2021-04-28,TSLA,SMAStrategy10,TRADE_CLOSE,,0,102880.33075089686,-301.7000427246094,-301.7000427246094
2021-04-28,TSLA,SMAStrategy10,SELL,232.1366729736328,-42,102880.33075089686,,
2021-04-29,MSFT,SMAStrategy10,TRADE_CLOSE,,0,103025.06019495009,-244.4749010384388,-244.4749010384388
