date,total_value,diary_variation,cash
2021-04-30,102343.5669587841,2343.5669587840966,49983.02650773429
2021-05-03,102036.43979203605,2036.4397920360498,39895.22624528312
2021-05-04,100919.05447709464,919.0544770946435,49626.69983231925
2021-05-05,101159.1294654421,1159.1294654421072,80405.5111640505
2021-05-06,101396.14100108664,1396.1410010866384,80405.5111640505
2021-05-07,101472.79177807356,1472.7917780735588,59977.039481625805
2021-05-10,100310.96407051486,310.9640705148631,50084.79976387425
2021-05-11,99527.95795806046,-472.04204193953774,88938.68569548722
2021-05-12,99202.3114126503,-797.688587349694,88938.68569548722
2021-05-13,99322.98809425707,-677.0119057429256,99322.98809425707
2021-05-14,99322.98809425707,-677.0119057429256,99322.98809425707
2021-05-17,99268.96620706112,-731.033792938877,89601.09351113827
2021-05-18,98967.59240216248,-1032.4075978375186,79431.71160382264
2021-05-19,98673.6656733517,-1326.3343266482989,98673.6656733517
2021-05-20,98673.6656733517,-1326.3343266482989,98673.6656733517
2021-05-21,98195.71894440203,-1804.2810555979668,59247.61865601092
2021-05-24,99033.30039947222,-966.699600527776,68969.09832732867
2021-05-25,98973.17885704583,-1026.8211429541698,49391.02182884759
2021-05-26,99342.4419467145,-657.5580532854947,39696.177649229154
2021-05-27,99088.13679382144,-911.8632061785611,39696.177649229154
2021-05-28,98977.21677838404,-1022.7832216159586,49164.19533978541
2021-06-01,99175.06968365748,-824.9303163425211,49164.19533978541
2021-06-02,98768.91258628613,-1231.0874137138744,58970.986805036126
2021-06-03,97960.110584333,-2039.8894156669994,58970.986805036126
2021-06-04,98550.58001743129,-1449.41998256871,78357.80772434047
2021-06-07,98950.82891584866,-1049.1710841513413,39499.66702009671
2021-06-08,98772.69201874832,-1227.3079812516808,29660.99731659988
2021-06-09,99039.94836640457,-960.0516335954308,29660.99731659988
2021-06-10,99652.30554109695,-347.6944589030463,19861.59823518875
